country,ISO,Year,mean_bmi
Afghanistan,AFG,2016,23.45829536
Albania,ALB,2016,26.84099142
Algeria,DZA,2016,25.7132756
American Samoa,ASM,2016,34.10779267
Andorra,AND,2016,26.87502784
Angola,AGO,2016,23.40651982
Antigua and Barbuda,ATG,2016,26.89377818
Argentina,ARG,2016,27.90813545
Armenia,ARM,2016,26.46920131
Australia,AUS,2016,27.29578635
Austria,AUT,2016,25.71106335
Azerbaijan,AZE,2016,27.20031988
Bahamas,BHS,2016,28.17300553
Bahrain,BHR,2016,24.84375707
Bangladesh,BGD,2016,21.72684389
Barbados,BRB,2016,27.96324388
Belarus,BLR,2016,26.77116127
Belgium,BEL,2016,26.27552702
Belize,BLZ,2016,29.19265171
Benin,BEN,2016,23.62315059
Bermuda,BMU,2016,28.58117471
Bhutan,BTN,2016,24.0806994
Bolivia,BOL,2016,26.67430117
Bosnia and Herzegovina,BIH,2016,25.93542637
Botswana,BWA,2016,24.46527268
Brazil,BRA,2016,26.75506981
Brunei Darussalam,BRN,2016,27.32475821
Bulgaria,BGR,2016,26.62621195
Burkina Faso,BFA,2016,22.20015601
Burundi,BDI,2016,21.73137589
Cabo Verde,CPV,2016,24.61423766
Cambodia,KHM,2016,22.27083647
Cameroon,CMR,2016,24.44157936
Canada,CAN,2016,27.10897186
Central African Republic,CAF,2016,22.93075205
Chad,TCD,2016,22.01462803
Chile,CHL,2016,28.16770399
China,CHN,2016,23.93421836
China (Hong Kong SAR),HKG,2016,24.28509146
Colombia,COL,2016,26.37263183
Comoros,COM,2016,24.56071717
Congo,COG,2016,23.30702087
Cook Islands,COK,2016,33.10932448
Costa Rica,CRI,2016,27.50725443
Cote d'Ivoire,CIV,2016,23.86307096
Croatia,HRV,2016,27.61548149
Cuba,CUB,2016,25.78725898
Cyprus,CYP,2016,26.98086693
Czech Republic,CZE,2016,27.31249458
Denmark,DNK,2016,25.41816102
Djibouti,DJI,2016,24.13021913
Dominica,DMA,2016,27.14841223
Dominican Republic,DOM,2016,26.62660531
DR Congo,COD,2016,22.0761301
Ecuador,ECU,2016,27.41749993
Egypt,EGY,2016,29.81411137
El Salvador,SLV,2016,27.74046295
Equatorial Guinea,GNQ,2016,24.20701052
Eritrea,ERI,2016,20.74770058
Estonia,EST,2016,26.57679573
Ethiopia,ETH,2016,20.61507316
Fiji,FJI,2016,27.90442409
Finland,FIN,2016,26.11349894
France,FRA,2016,25.19231819
French Polynesia,PYF,2016,29.61079081
Gabon,GAB,2016,25.41982584
Gambia,GMB,2016,24.10540337
Georgia,GEO,2016,27.78370107
Germany,DEU,2016,26.74721971
Ghana,GHA,2016,23.99010605
Greece,GRC,2016,27.28599582
Greenland,GRL,2016,26.45601304
Grenada,GRD,2016,27.13265177
Guatemala,GTM,2016,26.66086325
Guinea,GIN,2016,22.97621771
Guinea Bissau,GNB,2016,23.50618278
Guyana,GUY,2016,26.57007357
Haiti,HTI,2016,25.4862227
Honduras,HND,2016,26.93058766
Hungary,HUN,2016,27.52475307
Iceland,ISL,2016,26.37658524
India,IND,2016,21.90909644
Indonesia,IDN,2016,23.2455969
Iran,IRN,2016,26.32871704
Iraq,IRQ,2016,28.94723972
Ireland,IRL,2016,27.64897056
Israel,ISR,2016,27.47636143
Italy,ITA,2016,25.75326236
Jamaica,JAM,2016,27.9217633
Japan,JPN,2016,22.7527461
Jordan,JOR,2016,29.29658831
Kazakhstan,KAZ,2016,26.57597848
Kenya,KEN,2016,23.40703777
Kiribati,KIR,2016,30.23685099
Kuwait,KWT,2016,29.92726329
Kyrgyzstan,KGZ,2016,26.78574852
Lao PDR,LAO,2016,23.00197253
Latvia,LVA,2016,26.82290332
Lebanon,LBN,2016,27.88600096
Lesotho,LSO,2016,24.97409351
Liberia,LBR,2016,24.18591241
Libya,LBY,2016,28.30945682
Lithuania,LTU,2016,26.6387653
Luxembourg,LUX,2016,26.49988383
Macedonia (TFYR),MKD,2016,26.94050727
Madagascar,MDG,2016,21.36117161
Malawi,MWI,2016,22.9317283
Malaysia,MYS,2016,25.85245532
Maldives,MDV,2016,25.69996267
Mali,MLI,2016,23.09106673
Malta,MLT,2016,27.27586643
Marshall Islands,MHL,2016,29.87237467
Mauritania,MRT,2016,25.06175032
Mauritius,MUS,2016,25.36855299
Mexico,MEX,2016,28.11393505
Micronesia (Federated States of),FSM,2016,29.93624973
Moldova,MDA,2016,27.18261624
Mongolia,MNG,2016,26.41042344
Montenegro,MNE,2016,26.73666534
Morocco,MAR,2016,26.12764246
Mozambique,MOZ,2016,22.78324328
Myanmar,MMR,2016,22.74365674
Namibia,NAM,2016,24.30107651
Nauru,NRU,2016,32.61460878
