LOCATION,country,trustgov2017
AUS,Australia,1.061853528
AUT,Austria,2.759507656
BEL,Belgium,2.691919088
CAN,Canada,1.256773114
CZE,Czechia,1.523966312
DNK,Denmark,2.939132452
FIN,Finland,2.421995401
FRA,France,2.201901197
DEU,Germany,2.8272686
HUN,Hungary,1.291008711
IRL,Ireland,18.10225487
ITA,Italy,1.414966106
JPN,Japan,3.369167805
KOR,South Korea,4.282898903
LUX,Luxembourg,0.752475441
MEX,Mexico,0.012398852
NLD,Netherlands,1.566356778
NOR,Norway,1.908367515
POL,Poland,0.760867119
PRT,Portugal,1.289494276
SVK,Slovakia,0.915442944
ESP,Spain,1.271229863
SWE,Sweden,2.929821491
GBR,United Kingdom,1.682411194
USA,United States,2.924256563
EST,Estonia,1.110750318
ISR,Israel,2.15154171
LVA,Latvia,0.552431345
LTU,Lithuania,0.535746992
SVN,Slovenia,1.705172896
