Country Name,Country Code,wb.above65_2019
Aruba,ABW,14.05835544
Afghanistan,AFG,2.615794214
Angola,AGO,2.19934175
Albania,ALB,14.20263062
Andorra,AND,
Arab World,ARB,4.657837545
United Arab Emirates,ARE,1.156549456
Argentina,ARG,11.24310827
Armenia,ARM,11.48366772
American Samoa,ASM,
Antigua and Barbuda,ATG,9.054964064
Australia,AUS,15.92120175
Austria,AUT,19.07560629
Azerbaijan,AZE,6.44638912
Burundi,BDI,2.312095315
Belgium,BEL,19.00656607
Benin,BEN,3.264884925
Burkina Faso,BFA,2.407287537
Bangladesh,BGD,5.180351348
Bulgaria,BGR,21.25296727
Bahrain,BHR,2.518809729
"Bahamas, The",BHS,7.483272654
Bosnia and Herzegovina,BIH,17.20115117
Belarus,BLR,15.20084135
Belize,BLZ,4.86738926
Bermuda,BMU,
Bolivia,BOL,7.338631646
Brazil,BRA,9.251608036
Barbados,BRB,16.23099033
Brunei Darussalam,BRN,5.208811752
Bhutan,BTN,6.092974373
Botswana,BWA,4.365895341
Central African Republic,CAF,2.81479015
Canada,CAN,17.64789689
Central Europe and the Baltics,CEB,18.95282482
Switzerland,CHE,18.83799606
Channel Islands,CHI,17.60140254
Chile,CHL,11.88154013
China,CHN,11.47219302
Cote d'Ivoire,CIV,2.873119343
Cameroon,CMR,2.723649908
"Congo, Dem. Rep.",COD,3.016939617
"Congo, Rep.",COG,2.721415896
Colombia,COL,8.765830007
Comoros,COM,3.055403427
Cabo Verde,CPV,4.698373444
Costa Rica,CRI,9.880435323
Caribbean small states,CSS,9.000641477
Cuba,CUB,15.56495916
Curacao,CUW,17.16883689
Cayman Islands,CYM,
Cyprus,CYP,14.04826565
Czech Republic,CZE,19.80074484
Germany,DEU,21.56299232
Djibouti,DJI,4.609063643
Dominica,DMA,
Denmark,DNK,19.96525913
Dominican Republic,DOM,7.298389658
Algeria,DZA,6.552777882
East Asia & Pacific (excluding high income),EAP,9.931219944
Early-demographic dividend,EAR,5.969409322
East Asia & Pacific,EAS,11.17894425
Europe & Central Asia (excluding high income),ECA,12.01052283
Europe & Central Asia,ECS,16.6212909
Ecuador,ECU,7.372199367
"Egypt, Arab Rep.",EGY,5.276332976
Euro area,EMU,20.85628798
Eritrea,ERI,
Spain,ESP,19.64782295
Estonia,EST,19.99180778
Ethiopia,ETH,3.516690455
European Union,EUU,20.4634673
Fragile and conflict affected situations,FCS,3.406137513
Finland,FIN,22.14064462
Fiji,FJI,5.624229594
France,FRA,20.39137028
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,4.192768967
Gabon,GAB,3.544727257
United Kingdom,GBR,18.50869564
Georgia,GEO,15.06105563
Ghana,GHA,3.097322178
Gibraltar,GIB,
Guinea,GIN,2.94190559
"Gambia, The",GMB,2.560925431
Guinea-Bissau,GNB,2.863260455
Equatorial Guinea,GNQ,2.424508808
Greece,GRC,21.94147013
Grenada,GRD,9.677419355
Greenland,GRL,
Guatemala,GTM,4.928984331
Guam,GUM,10.18984542
Guyana,GUY,6.711584305
High income,HIC,18.26447859
"Hong Kong SAR, China",HKG,17.49825246
Honduras,HND,4.828189524
Heavily indebted poor countries (HIPC),HPC,3.048539111
Croatia,HRV,20.86013523
Haiti,HTI,5.063669546
Hungary,HUN,19.69445761
IBRD only,IBD,8.791423774
IDA & IBRD total,IBT,7.446790959
IDA total,IDA,3.566096676
IDA blend,IDB,3.465329413
Indonesia,IDN,6.050302682
IDA only,IDX,3.617196468
Isle of Man,IMN,
India,IND,6.377924156
Not classified,INX,
Ireland,IRL,14.22283075
"Iran, Islamic Rep.",IRN,6.358522055
Iraq,IRQ,3.398533134
Iceland,ISL,15.19212107
Israel,ISR,12.20867441
Italy,ITA,23.01213665
Jamaica,JAM,8.922391673
Jordan,JOR,3.893416292
Japan,JPN,28.00204928
Kazakhstan,KAZ,7.652343941
Kenya,KEN,2.42382671
Kyrgyz Republic,KGZ,4.600294583
Cambodia,KHM,4.717769196
Kiribati,KIR,4.082274714
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,15.0601769
Kuwait,KWT,2.763838983
Latin America & Caribbean (excluding high income),LAC,8.500673099
Lao PDR,LAO,4.163984571
Lebanon,LBN,7.273291633
Liberia,LBR,3.285693974
Libya,LBY,4.458238878
St. Lucia,LCA,10.03501286
Latin America & Caribbean,LCN,8.70193078
Least developed countries: UN classification,LDC,3.563097863
Low income,LIC,3.276841993
Liechtenstein,LIE,
Sri Lanka,LKA,10.83880576
Lower middle income,LMC,5.639174849
Low & middle income,LMY,7.340267501
Lesotho,LSO,4.925825825
Late-demographic dividend,LTE,11.18419246
Lithuania,LTU,20.15841271
Luxembourg,LUX,14.27494888
Latvia,LVA,20.336511
"Macao SAR, China",MAC,11.21173559
St. Martin (French part),MAF,
Morocco,MAR,7.300454771
Monaco,MCO,
Moldova,MDA,12.01311911
Madagascar,MDG,3.044064128
Maldives,MDV,3.641000239
Middle East & North Africa,MEA,5.308330439
Mexico,MEX,7.416660604
Marshall Islands,MHL,
Middle income,MIC,7.811241417
North Macedonia,MKD,14.08542237
Mali,MLI,2.495127818
Malta,MLT,20.81717275
Myanmar,MMR,6.0117046
Middle East & North Africa (excluding high income),MNA,5.502145641
Montenegro,MNE,15.38917207
Mongolia,MNG,4.189333452
Northern Mariana Islands,MNP,
Mozambique,MOZ,2.878446169
Mauritania,MRT,3.156243813
Mauritius,MUS,11.99872723
Malawi,MWI,2.642024179
Malaysia,MYS,6.920771309
North America,NAC,16.35739191
Namibia,NAM,3.608054423
New Caledonia,NCL,9.426702034
Niger,NER,2.596711426
Nigeria,NGA,2.743083338
Nicaragua,NIC,5.457992374
Netherlands,NLD,19.60531972
Norway,NOR,17.27266592
Nepal,NPL,5.782567617
Nauru,NRU,
New Zealand,NZL,15.99395617
OECD members,OED,17.10489701
Oman,OMN,2.448589805
Other small states,OSS,5.573862386
Pakistan,PAK,4.322407709
Panama,PAN,8.313836605
Peru,PER,8.39347886
Philippines,PHL,5.31499622
Palau,PLW,
Papua New Guinea,PNG,3.509425418
Poland,POL,18.11689725
Pre-demographic dividend,PRE,2.768233771
Puerto Rico,PRI,19.69708953
"Korea, Dem. People’s Rep.",PRK,9.25808889
Portugal,PRT,22.35669072
Paraguay,PRY,6.620824696
