Country Name,Country Code,wb.urban_perc2019
Aruba,ABW,43.546
Afghanistan,AFG,25.754
Angola,AGO,66.177
Albania,ALB,61.229
Andorra,AND,87.984
Arab World,ARB,59.20164687
United Arab Emirates,ARE,86.789
Argentina,ARG,91.991
Armenia,ARM,63.219
American Samoa,ASM,87.147
Antigua and Barbuda,ATG,24.506
Australia,AUS,86.124
Austria,AUT,58.515
Azerbaijan,AZE,56.031
Burundi,BDI,13.366
Belgium,BEL,98.041
Benin,BEN,47.861
Burkina Faso,BFA,29.98
Bangladesh,BGD,37.405
Bulgaria,BGR,75.347
Bahrain,BHR,89.394
"Bahamas, The",BHS,83.132
Bosnia and Herzegovina,BIH,48.626
Belarus,BLR,79.044
Belize,BLZ,45.866
Bermuda,BMU,100
Bolivia,BOL,69.773
Brazil,BRA,86.824
Barbados,BRB,31.158
Brunei Darussalam,BRN,77.942
Bhutan,BTN,41.612
Botswana,BWA,70.172
Central African Republic,CAF,41.77
Canada,CAN,81.482
Central Europe and the Baltics,CEB,62.438582
Switzerland,CHE,73.849
Channel Islands,CHI,30.931
Chile,CHL,87.643
China,CHN,60.308
Cote d'Ivoire,CIV,51.239
Cameroon,CMR,56.968
"Congo, Dem. Rep.",COD,45.046
"Congo, Rep.",COG,67.373
Colombia,COL,81.104
Comoros,COM,29.164
Cabo Verde,CPV,66.195
Costa Rica,CRI,80.076
Caribbean small states,CSS,51.36999058
Cuba,CUB,77.109
Curacao,CUW,89.098
Cayman Islands,CYM,100
Cyprus,CYP,66.805
Czech Republic,CZE,73.921
Germany,DEU,77.376
Djibouti,DJI,77.915
Dominica,DMA,70.786
Denmark,DNK,87.994
Dominican Republic,DOM,81.828
Algeria,DZA,73.189
East Asia & Pacific (excluding high income),EAP,56.57000362
Early-demographic dividend,EAR,45.54080566
East Asia & Pacific,EAS,59.88726026
Europe & Central Asia (excluding high income),ECA,67.81762522
Europe & Central Asia,ECS,72.40935588
Ecuador,ECU,63.986
"Egypt, Arab Rep.",EGY,42.73
Euro area,EMU,77.21916388
Eritrea,ERI,
Spain,ESP,80.565
Estonia,EST,69.051
Ethiopia,ETH,21.225
European Union,EUU,74.73055441
Fragile and conflict affected situations,FCS,44.95006857
Finland,FIN,85.446
Fiji,FJI,56.75
France,FRA,80.709
Faroe Islands,FRO,42.225
"Micronesia, Fed. Sts.",FSM,22.812
Gabon,GAB,89.741
United Kingdom,GBR,83.652
Georgia,GEO,59.039
Ghana,GHA,56.707
Gibraltar,GIB,100
Guinea,GIN,36.5
"Gambia, The",GMB,61.931
Guinea-Bissau,GNB,43.777
Equatorial Guinea,GNQ,72.627
Greece,GRC,79.388
Grenada,GRD,36.396
Greenland,GRL,87.052
Guatemala,GTM,51.439
Guam,GUM,94.859
Guyana,GUY,26.689
High income,HIC,81.0477557
"Hong Kong SAR, China",HKG,100
Honduras,HND,57.73
Heavily indebted poor countries (HIPC),HPC,36.48128141
Croatia,HRV,57.242
Haiti,HTI,56.192
Hungary,HUN,71.644
IBRD only,IBD,55.61614168
IDA & IBRD total,IBT,50.94866971
IDA total,IDA,37.47898029
IDA blend,IDB,42.70718233
Indonesia,IDN,55.985
IDA only,IDX,34.82755142
Isle of Man,IMN,52.735
India,IND,34.472
Not classified,INX,
Ireland,IRL,63.405
"Iran, Islamic Rep.",IRN,75.391
Iraq,IRQ,70.678
Iceland,ISL,93.855
Israel,ISR,92.501
