num,year,ISO_code,countries,region,hf_score,hf_rank
0,2018,ALB,Albania,Eastern Europe,7.81,43
11,2018,DZA,Algeria,Middle East & North Africa,5.2,154
22,2018,AGO,Angola,Sub-Saharan Africa,5.48,144
33,2018,ARG,Argentina,Latin America & the Caribbean,7.05,70
44,2018,ARM,Armenia,Caucasus & Central Asia,7.69,47
55,2018,AUS,Australia,Oceania,8.68,5
66,2018,AUT,Austria,Western Europe,8.45,15
77,2018,AZE,Azerbaijan,Caucasus & Central Asia,6.29,116
88,2018,BHS,"Bahamas, The",Latin America & the Caribbean,7.72,45
99,2018,BHR,Bahrain,Middle East & North Africa,6.18,123
110,2018,BGD,Bangladesh,South Asia,5.67,139
121,2018,BRD,Barbados,Latin America & the Caribbean,6.99,75
132,2018,BLR,Belarus,Eastern Europe,6.67,99
143,2018,BEL,Belgium,Western Europe,8.28,25
154,2018,BLZ,Belize,Latin America & the Caribbean,6.92,80
165,2018,BEN,Benin,Sub-Saharan Africa,6.81,90
176,2018,BTN,Bhutan,South Asia,6.52,108
187,2018,BOL,Bolivia,Latin America & the Caribbean,6.78,91
198,2018,BIH,Bosnia and Herzegovina,Eastern Europe,7.34,59
209,2018,BWA,Botswana,Sub-Saharan Africa,7.35,58
220,2018,BRA,Brazil,Latin America & the Caribbean,6.83,88
231,2018,BRN,Brunei Darussalam,South Asia,6.01,135
242,2018,BGR,Bulgaria,Eastern Europe,7.93,37
253,2018,BFA,Burkina Faso,Sub-Saharan Africa,6.6,102
264,2018,BDI,Burundi,Sub-Saharan Africa,5.42,148
275,2018,CPV,Cabo Verde,Sub-Saharan Africa,7.75,44
286,2018,KHM,Cambodia,South Asia,6.83,88
297,2018,CMR,Cameroon,Sub-Saharan Africa,5.46,145
308,2018,CAN,Canada,North America,8.64,6
319,2018,CAF,Central African Republic,Sub-Saharan Africa,5.25,153
330,2018,TCD,Chad,Sub-Saharan Africa,5.59,141
341,2018,CHL,Chile,Latin America & the Caribbean,8.18,30
352,2018,CHN,China,East Asia,6.07,129
363,2018,COL,Colombia,Latin America & the Caribbean,6.85,86
374,2018,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,5.29,151
385,2018,COG,"Congo, Rep.",Sub-Saharan Africa,5.51,143
396,2018,CRI,Costa Rica,Latin America & the Caribbean,7.84,42
407,2018,CIV,Cote d'Ivoire,Sub-Saharan Africa,6.51,109
418,2018,HRV,Croatia,Eastern Europe,7.92,38
429,2018,CYP,Cyprus,Eastern Europe,8.05,33
440,2018,CZE,Czech Republic,Eastern Europe,8.29,24
451,2018,DNK,Denmark,Western Europe,8.73,4
462,2018,DOM,Dominican Republic,Latin America & the Caribbean,7.37,57
473,2018,ECU,Ecuador,Latin America & the Caribbean,7.14,66
484,2018,EGY,"Egypt, Arab Rep.",Middle East & North Africa,4.67,157
495,2018,SLV,El Salvador,Latin America & the Caribbean,7.03,73
506,2018,EST,Estonia,Eastern Europe,8.54,8
517,2018,SWZ,Eswatini,Sub-Saharan Africa,6.02,134
528,2018,ETH,Ethiopia,Sub-Saharan Africa,5.4,149
539,2018,FJI,Fiji,Oceania,6.98,77
550,2018,FIN,Finland,Western Europe,8.49,11
