location,date,p_scores_all_ages,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,time,time_unit
Armenia,31-01-20,-5.89,2567,2727.6,1,monthly
Armenia,29-02-20,2.26,2434,2380.2,2,monthly
Armenia,31-03-20,-6.6,2288,2449.6,3,monthly
Armenia,30-04-20,-2.9,2156,2220.4,4,monthly
Armenia,31-05-20,-6.72,2103,2254.4,5,monthly
Armenia,30-06-20,38.05,2869,2078.2,6,monthly
Armenia,31-07-20,26.37,2719,2151.6,7,monthly
Armenia,31-08-20,1.09,2106,2083.2,8,monthly
Armenia,30-09-20,12.72,2042,1811.6,9,monthly
Armenia,31-10-20,71.71,3632,2115.2,10,monthly
Armenia,30-11-20,161.57,6060,2316.8,11,monthly
Armenia,31-12-20,78.76,4395,2458.6,12,monthly
Australia,05-01-20,1.34,2517,2483.6,1,weekly
Australia,12-01-20,0.95,2520,2496.4,2,weekly
Australia,19-01-20,2.22,2508,2453.6,3,weekly
Australia,26-01-20,5.12,2566,2441,4,weekly
Australia,02-02-20,3.24,2534,2454.4,5,weekly
Australia,09-02-20,4.42,2573,2464.2,6,weekly
Australia,16-02-20,6.18,2596,2445,7,weekly
Australia,23-02-20,4.49,2617,2504.6,8,weekly
Australia,01-03-20,4.88,2616,2494.2,9,weekly
Australia,08-03-20,4.59,2626,2510.8,10,weekly
Australia,15-03-20,4.62,2578,2464.2,11,weekly
Australia,22-03-20,7.28,2693,2510.2,12,weekly
Australia,29-03-20,12.05,2830,2525.6,13,weekly
Australia,05-04-20,11.31,2804,2519.2,14,weekly
Australia,12-04-20,6.25,2739,2578,15,weekly
Australia,19-04-20,2.91,2670,2594.4,16,weekly
Australia,26-04-20,5.71,2714,2567.4,17,weekly
Australia,03-05-20,3.18,2678,2595.4,18,weekly
Australia,10-05-20,2.57,2790,2720.2,19,weekly
Australia,17-05-20,-0.8,2732,2754,20,weekly
Australia,24-05-20,-0.69,2766,2785.2,21,weekly
Australia,31-05-20,-1.73,2748,2796.4,22,weekly
Australia,07-06-20,-5.26,2753,2906,23,weekly
Australia,14-06-20,-3.77,2705,2811,24,weekly
Australia,21-06-20,-7.53,2629,2843.2,25,weekly
Australia,28-06-20,-6.46,2709,2896.2,26,weekly
Australia,05-07-20,-6.74,2768,2968.2,27,weekly
Australia,12-07-20,-5.77,2772,2941.6,28,weekly
Australia,19-07-20,-10.72,2716,3042,29,weekly
Australia,26-07-20,-0.03,3024,3024.8,30,weekly
Australia,02-08-20,-5.97,2819,2998,31,weekly
Australia,09-08-20,-0.84,3039,3064.6,32,weekly
Australia,16-08-20,-1.19,3004,3040.2,33,weekly
Australia,23-08-20,-8.2,2832,3084.8,34,weekly
Australia,30-08-20,-8.63,2819,3085.4,35,weekly
Australia,06-09-20,-4.85,2900,3047.8,36,weekly
